signal,entry,exit,side,net_r,reason,carry_days
2025-03-19 12:30:00+00:00,2025-03-19 12:45:00+00:00,2025-03-19 13:15:00+00:00,1,-1.0177099974744086,SL,0
2025-03-19 16:15:00+00:00,2025-03-19 16:30:00+00:00,2025-03-19 18:00:00+00:00,1,-1.0150300679891902,SL,0
2025-03-19 18:00:00+00:00,2025-03-19 18:15:00+00:00,2025-03-20 10:15:00+00:00,1,-1.0505304231536825,SL,1
2025-03-20 15:45:00+00:00,2025-03-20 16:00:00+00:00,2025-03-21 03:05:00+00:00,1,-1.048012437950024,SL,1
2025-03-27 11:45:00+00:00,2025-03-27 12:00:00+00:00,2025-03-27 12:35:00+00:00,1,-1.0148869341334772,SL,0
2025-03-27 14:00:00+00:00,2025-03-27 14:15:00+00:00,2025-03-28 05:40:00+00:00,1,2.9645729697094536,TP,1
2025-03-28 12:30:00+00:00,2025-03-28 12:45:00+00:00,2025-03-28 13:10:00+00:00,1,-1.0154604886336294,SL,0
2025-03-28 13:45:00+00:00,2025-03-28 14:00:00+00:00,2025-03-28 14:30:00+00:00,1,-1.0118480589579073,SL,0
2025-03-28 15:30:00+00:00,2025-03-28 15:45:00+00:00,2025-03-31 05:55:00+00:00,1,2.918138173609271,TP,3
2025-03-31 12:00:00+00:00,2025-03-31 12:15:00+00:00,2025-03-31 13:05:00+00:00,1,-1.0125101902660687,SL,0
2025-03-31 14:30:00+00:00,2025-03-31 14:45:00+00:00,2025-04-01 15:40:00+00:00,1,0.055404017493245354,TIME,1
2025-04-02 13:30:00+00:00,2025-04-02 13:45:00+00:00,2025-04-02 13:50:00+00:00,1,-1.0114982671160446,SL,0
2025-04-02 15:30:00+00:00,2025-04-02 15:45:00+00:00,2025-04-02 20:10:00+00:00,1,-1.0112716059113576,SL,0
2025-04-02 20:15:00+00:00,2025-04-02 20:30:00+00:00,2025-04-03 06:30:00+00:00,1,-1.0277575761677902,SL,1
2025-04-09 13:00:00+00:00,2025-04-09 13:15:00+00:00,2025-04-10 02:15:00+00:00,1,2.981018224405102,TP,1
2025-04-10 13:00:00+00:00,2025-04-10 13:15:00+00:00,2025-04-10 15:35:00+00:00,1,2.995475285197369,TP,0
2025-04-10 17:30:00+00:00,2025-04-10 17:45:00+00:00,2025-04-11 01:05:00+00:00,1,2.979751238612289,TP,1
2025-04-11 12:15:00+00:00,2025-04-11 12:30:00+00:00,2025-04-14 12:40:00+00:00,1,-1.0538831429016855,SL,3
2025-04-15 17:30:00+00:00,2025-04-15 17:45:00+00:00,2025-04-16 00:00:00+00:00,1,2.960113182925484,TP,1
2025-04-16 11:45:00+00:00,2025-04-16 12:00:00+00:00,2025-04-16 22:05:00+00:00,1,2.9952519922293246,TP,0
2025-04-17 12:00:00+00:00,2025-04-17 12:15:00+00:00,2025-04-17 12:30:00+00:00,1,-1.009265141303426,SL,0
2025-04-17 20:15:00+00:00,2025-04-17 20:30:00+00:00,2025-04-21 00:35:00+00:00,1,2.893416709494355,TP,4
2025-04-21 12:30:00+00:00,2025-04-21 12:45:00+00:00,2025-04-21 23:35:00+00:00,1,2.9942084562161364,TP,0
2025-05-05 12:00:00+00:00,2025-05-05 12:15:00+00:00,2025-05-06 01:05:00+00:00,1,2.9694531870518985,TP,1
2025-05-06 11:45:00+00:00,2025-05-06 12:00:00+00:00,2025-05-06 17:20:00+00:00,1,2.994346056891016,TP,0
2025-05-06 17:15:00+00:00,2025-05-06 17:30:00+00:00,2025-05-06 22:05:00+00:00,1,-1.008802741850418,SL,0
2025-05-07 13:30:00+00:00,2025-05-07 13:45:00+00:00,2025-05-07 14:20:00+00:00,1,-1.0080511675518002,SL,0
2025-05-07 18:00:00+00:00,2025-05-07 18:15:00+00:00,2025-05-07 18:30:00+00:00,1,-1.0092185258027333,SL,0
2025-05-23 11:45:00+00:00,2025-05-23 12:00:00+00:00,2025-05-26 00:10:00+00:00,1,-1.079341904639509,SL,3
2025-05-26 14:30:00+00:00,2025-05-26 14:45:00+00:00,2025-05-27 05:00:00+00:00,1,-1.0480210444735865,SL,1
2025-06-02 12:15:00+00:00,2025-06-02 12:30:00+00:00,2025-06-02 13:30:00+00:00,1,-1.0112193314349163,SL,0
2025-06-02 13:30:00+00:00,2025-06-02 13:45:00+00:00,2025-06-03 06:40:00+00:00,1,-1.0339254659116301,SL,1
2025-06-04 12:45:00+00:00,2025-06-04 13:00:00+00:00,2025-06-05 10:05:00+00:00,1,2.966895602660196,TP,1
2025-06-05 12:00:00+00:00,2025-06-05 12:15:00+00:00,2025-06-05 12:45:00+00:00,1,-1.0118462671520592,SL,0
2025-06-12 11:45:00+00:00,2025-06-12 12:00:00+00:00,2025-06-13 00:50:00+00:00,1,2.971544250743706,TP,1
2025-06-13 12:00:00+00:00,2025-06-13 12:15:00+00:00,2025-06-16 07:10:00+00:00,1,-1.0855642538376749,SL,3
2025-06-23 18:00:00+00:00,2025-06-23 18:15:00+00:00,2025-06-23 20:15:00+00:00,1,-1.0092852262942742,SL,0
2025-07-22 11:45:00+00:00,2025-07-22 12:00:00+00:00,2025-07-22 12:55:00+00:00,1,2.986087421141132,TP,0
2025-07-22 12:45:00+00:00,2025-07-22 13:00:00+00:00,2025-07-22 15:00:00+00:00,1,2.9901651046918527,TP,0
2025-07-22 15:00:00+00:00,2025-07-22 15:15:00+00:00,2025-07-23 05:45:00+00:00,1,-1.0381606850161587,SL,1
2025-08-08 16:15:00+00:00,2025-08-08 16:30:00+00:00,2025-08-08 17:55:00+00:00,1,-1.0097097534869521,SL,0
2025-08-08 18:00:00+00:00,2025-08-08 18:15:00+00:00,2025-08-11 00:45:00+00:00,1,-1.06122428673059,SL,3
2025-08-28 12:00:00+00:00,2025-08-28 12:15:00+00:00,2025-08-28 12:45:00+00:00,1,-1.019074816629567,SL,0
2025-08-28 13:15:00+00:00,2025-08-28 13:30:00+00:00,2025-08-29 13:55:00+00:00,1,2.9529825320359255,TP,1
2025-08-29 13:45:00+00:00,2025-08-29 14:00:00+00:00,2025-08-29 19:50:00+00:00,1,2.990707795420751,TP,0
2025-08-29 19:45:00+00:00,2025-08-29 20:00:00+00:00,2025-08-29 20:00:00+00:00,1,-1.015779013788845,SL,0
2025-08-29 20:15:00+00:00,2025-08-29 20:30:00+00:00,2025-08-31 22:00:00+00:00,1,-1.0880441932694662,SL,2
2025-09-02 13:30:00+00:00,2025-09-02 13:45:00+00:00,2025-09-02 17:30:00+00:00,1,2.994748192007184,TP,0
2025-09-02 17:45:00+00:00,2025-09-02 18:00:00+00:00,2025-09-03 15:30:00+00:00,1,2.9700725365520397,TP,1
2025-09-03 16:15:00+00:00,2025-09-03 16:30:00+00:00,2025-09-03 23:10:00+00:00,1,-1.0104193298862147,SL,0
2025-09-04 12:00:00+00:00,2025-09-04 12:15:00+00:00,2025-09-04 14:00:00+00:00,1,-1.0114198777730459,SL,0
2025-09-04 15:45:00+00:00,2025-09-04 16:00:00+00:00,2025-09-04 22:10:00+00:00,1,-1.0092614039665562,SL,0
2025-09-05 12:30:00+00:00,2025-09-05 12:45:00+00:00,2025-09-05 12:45:00+00:00,1,-1.0099292294539886,SL,0
2025-09-05 16:00:00+00:00,2025-09-05 16:15:00+00:00,2025-09-07 22:00:00+00:00,1,-1.0446585193597395,SL,2
2025-09-08 11:45:00+00:00,2025-09-08 12:00:00+00:00,2025-09-09 02:05:00+00:00,1,2.9605856801343835,TP,1
2025-09-09 12:00:00+00:00,2025-09-09 12:15:00+00:00,2025-09-09 12:35:00+00:00,1,-1.0125450014140127,SL,0
2025-09-09 13:00:00+00:00,2025-09-09 13:15:00+00:00,2025-09-09 14:05:00+00:00,1,-1.011442614061185,SL,0
2025-09-10 14:00:00+00:00,2025-09-10 14:15:00+00:00,2025-09-10 14:50:00+00:00,1,-1.0114997816347264,SL,0
2025-09-12 13:30:00+00:00,2025-09-12 13:45:00+00:00,2025-09-12 15:10:00+00:00,1,-1.013416057430867,SL,0
2025-09-12 17:30:00+00:00,2025-09-12 17:45:00+00:00,2025-09-12 20:05:00+00:00,1,-1.0167212959471361,SL,0
2025-09-15 14:00:00+00:00,2025-09-15 14:15:00+00:00,2025-09-16 06:45:00+00:00,1,2.964321542555764,TP,1
2025-09-16 13:15:00+00:00,2025-09-16 13:30:00+00:00,2025-09-16 14:50:00+00:00,1,-1.0143664981286482,SL,0
2025-09-17 12:45:00+00:00,2025-09-17 13:00:00+00:00,2025-09-17 18:00:00+00:00,1,-1.013418666546668,SL,0
2025-09-19 19:45:00+00:00,2025-09-19 20:00:00+00:00,2025-09-22 06:25:00+00:00,1,2.8557823554829143,TP,3
2025-09-22 11:45:00+00:00,2025-09-22 12:00:00+00:00,2025-09-22 12:20:00+00:00,1,-1.0148076253421021,SL,0
2025-09-22 12:45:00+00:00,2025-09-22 13:00:00+00:00,2025-09-23 01:05:00+00:00,1,2.962107310470259,TP,1
2025-09-23 12:30:00+00:00,2025-09-23 12:45:00+00:00,2025-09-23 14:15:00+00:00,1,-1.0103637529207183,SL,0
2025-09-23 15:00:00+00:00,2025-09-23 15:15:00+00:00,2025-09-23 16:35:00+00:00,1,-1.0091632980842473,SL,0
2025-09-26 14:45:00+00:00,2025-09-26 15:00:00+00:00,2025-09-26 19:50:00+00:00,1,-1.008836608981087,SL,0
2025-09-29 13:30:00+00:00,2025-09-29 13:45:00+00:00,2025-09-30 05:00:00+00:00,1,2.9723720969707563,TP,1
2025-09-30 14:30:00+00:00,2025-09-30 14:45:00+00:00,2025-09-30 15:15:00+00:00,1,-1.0063901504757127,SL,0
2025-09-30 15:30:00+00:00,2025-09-30 15:45:00+00:00,2025-10-01 16:40:00+00:00,1,1.5459753382813368,TIME,1
2025-10-02 12:45:00+00:00,2025-10-02 13:00:00+00:00,2025-10-02 13:50:00+00:00,1,-1.0121637275856847,SL,0
2025-10-03 15:15:00+00:00,2025-10-03 15:30:00+00:00,2025-10-06 04:30:00+00:00,1,2.9382902121971433,TP,3
2025-10-06 13:30:00+00:00,2025-10-06 13:45:00+00:00,2025-10-07 14:40:00+00:00,1,2.1716029699591326,TIME,1
2025-10-07 14:45:00+00:00,2025-10-07 15:00:00+00:00,2025-10-07 15:40:00+00:00,1,-1.0078597425517446,SL,0
2025-10-07 17:00:00+00:00,2025-10-07 17:15:00+00:00,2025-10-08 05:30:00+00:00,1,2.9789026446395774,TP,1
2025-10-08 12:00:00+00:00,2025-10-08 12:15:00+00:00,2025-10-08 12:35:00+00:00,1,-1.0100857129370742,SL,0
2025-10-08 13:00:00+00:00,2025-10-08 13:15:00+00:00,2025-10-08 13:30:00+00:00,1,-1.008736706145353,SL,0
2025-10-08 14:00:00+00:00,2025-10-08 14:15:00+00:00,2025-10-08 22:05:00+00:00,1,-1.0075872799735062,SL,0
2025-10-09 12:45:00+00:00,2025-10-09 13:00:00+00:00,2025-10-09 13:35:00+00:00,1,-1.0101808595859796,SL,0
2025-10-13 13:45:00+00:00,2025-10-13 14:00:00+00:00,2025-10-14 01:10:00+00:00,1,2.9754468897205357,TP,1
2025-10-14 14:00:00+00:00,2025-10-14 14:15:00+00:00,2025-10-15 08:05:00+00:00,1,2.9855943581458573,TP,1
2025-10-15 14:00:00+00:00,2025-10-15 14:15:00+00:00,2025-10-15 15:35:00+00:00,1,-1.0053543096083326,SL,0
2025-10-15 19:00:00+00:00,2025-10-15 19:15:00+00:00,2025-10-16 14:05:00+00:00,1,2.9794580347392703,TP,1
2025-10-16 14:00:00+00:00,2025-10-16 14:15:00+00:00,2025-10-16 20:50:00+00:00,1,2.996543989997535,TP,0
2025-10-20 14:45:00+00:00,2025-10-20 15:00:00+00:00,2025-10-21 07:30:00+00:00,1,-1.0155320576508735,SL,1
2025-10-31 12:15:00+00:00,2025-10-31 12:30:00+00:00,2025-10-31 16:05:00+00:00,1,-1.007446678381354,SL,0
2025-11-03 14:45:00+00:00,2025-11-03 15:00:00+00:00,2025-11-03 15:35:00+00:00,1,-1.0073898038127336,SL,0
2025-11-03 15:30:00+00:00,2025-11-03 15:45:00+00:00,2025-11-03 15:55:00+00:00,1,-1.0062642547649276,SL,0
2025-11-06 11:45:00+00:00,2025-11-06 12:00:00+00:00,2025-11-06 12:35:00+00:00,1,-1.012105895687402,SL,0
2025-11-06 13:00:00+00:00,2025-11-06 13:15:00+00:00,2025-11-06 14:15:00+00:00,1,-1.0107554643729448,SL,0
2025-11-07 12:00:00+00:00,2025-11-07 12:15:00+00:00,2025-11-07 12:35:00+00:00,1,-1.0104682080491998,SL,0
2025-11-07 16:15:00+00:00,2025-11-07 16:30:00+00:00,2025-11-10 05:30:00+00:00,1,2.9414509508213005,TP,3
2025-11-10 11:45:00+00:00,2025-11-10 12:00:00+00:00,2025-11-10 23:45:00+00:00,1,2.994142493662076,TP,0
2025-11-11 12:30:00+00:00,2025-11-11 12:45:00+00:00,2025-11-11 14:20:00+00:00,1,-1.011503253611256,SL,0
2025-11-12 12:00:00+00:00,2025-11-12 12:15:00+00:00,2025-11-12 15:15:00+00:00,1,2.9946378525510635,TP,0
2025-11-12 15:15:00+00:00,2025-11-12 15:30:00+00:00,2025-11-13 08:00:00+00:00,1,2.9798771878736656,TP,1
2025-11-13 12:00:00+00:00,2025-11-13 12:15:00+00:00,2025-11-13 14:05:00+00:00,1,-1.0074727644630181,SL,0
2025-11-19 12:00:00+00:00,2025-11-19 12:15:00+00:00,2025-11-19 13:10:00+00:00,1,-1.0081359080604142,SL,0
2025-11-19 13:15:00+00:00,2025-11-19 13:30:00+00:00,2025-11-19 15:50:00+00:00,1,-1.0078195884615007,SL,0
2025-11-24 18:15:00+00:00,2025-11-24 18:30:00+00:00,2025-11-24 21:40:00+00:00,1,2.994737394395714,TP,0
2025-11-24 21:30:00+00:00,2025-11-24 21:45:00+00:00,2025-11-24 23:10:00+00:00,1,-1.008903575514798,SL,0
2025-11-25 13:15:00+00:00,2025-11-25 13:30:00+00:00,2025-11-25 14:35:00+00:00,1,-1.006849364411585,SL,0
2025-11-25 16:15:00+00:00,2025-11-25 16:30:00+00:00,2025-11-26 17:25:00+00:00,1,1.30872946764258,TIME,1
2025-11-26 18:00:00+00:00,2025-11-26 18:15:00+00:00,2025-11-26 18:35:00+00:00,1,-1.009027591973233,SL,0
2025-11-26 18:45:00+00:00,2025-11-26 19:00:00+00:00,2025-11-27 01:15:00+00:00,1,-1.03092193748905,SL,1
2025-11-28 13:45:00+00:00,2025-11-28 14:00:00+00:00,2025-12-01 00:25:00+00:00,1,2.9379832746399543,TP,3
2025-12-01 12:15:00+00:00,2025-12-01 12:30:00+00:00,2025-12-01 14:05:00+00:00,1,-1.0085902700713711,SL,0
2025-12-05 12:00:00+00:00,2025-12-05 12:15:00+00:00,2025-12-05 15:30:00+00:00,1,2.991767476845626,TP,0
2025-12-05 15:30:00+00:00,2025-12-05 15:45:00+00:00,2025-12-05 15:55:00+00:00,1,-1.0082909296658953,SL,0
2025-12-11 13:30:00+00:00,2025-12-11 13:45:00+00:00,2025-12-11 15:50:00+00:00,1,2.99434411211399,TP,0
2025-12-11 16:30:00+00:00,2025-12-11 16:45:00+00:00,2025-12-12 09:10:00+00:00,1,2.978661039789343,TP,1
2025-12-12 13:00:00+00:00,2025-12-12 13:15:00+00:00,2025-12-12 15:20:00+00:00,1,-1.0084275900496837,SL,0
2025-12-17 13:30:00+00:00,2025-12-17 13:45:00+00:00,2025-12-17 14:15:00+00:00,1,-1.0092476985393282,SL,0
2025-12-17 14:30:00+00:00,2025-12-17 14:45:00+00:00,2025-12-17 16:20:00+00:00,1,-1.0074011128250349,SL,0
2025-12-17 17:15:00+00:00,2025-12-17 17:30:00+00:00,2025-12-18 12:25:00+00:00,1,-1.0221665018812174,SL,1
2025-12-18 13:30:00+00:00,2025-12-18 13:45:00+00:00,2025-12-18 14:35:00+00:00,1,-1.010438359117013,SL,0
2025-12-19 16:45:00+00:00,2025-12-19 17:00:00+00:00,2025-12-22 04:05:00+00:00,1,2.9351812919654168,TP,3
2025-12-22 12:45:00+00:00,2025-12-22 13:00:00+00:00,2025-12-22 21:25:00+00:00,1,2.9928018266099348,TP,0
2025-12-22 21:15:00+00:00,2025-12-22 21:30:00+00:00,2025-12-23 01:10:00+00:00,1,2.967749036177272,TP,1
2025-12-23 11:45:00+00:00,2025-12-23 12:00:00+00:00,2025-12-23 12:20:00+00:00,1,-1.011308869775939,SL,0
2025-12-23 13:00:00+00:00,2025-12-23 13:15:00+00:00,2025-12-23 13:30:00+00:00,1,-1.0113443476382455,SL,0
2025-12-23 18:00:00+00:00,2025-12-23 18:15:00+00:00,2025-12-24 15:35:00+00:00,1,-1.0221308338232336,SL,1
2025-12-26 13:15:00+00:00,2025-12-26 13:30:00+00:00,2025-12-29 00:20:00+00:00,1,-1.078143011685965,SL,3
