signal,entry,exit,side,net_r,reason,carry_days
2024-02-14 14:45:00+00:00,2024-02-14 15:00:00+00:00,2024-02-14 16:30:00+00:00,-1,-1.02582469795167,SL,0
2024-03-04 13:45:00+00:00,2024-03-04 14:00:00+00:00,2024-03-04 15:50:00+00:00,1,2.9842437279971925,TP,0
2024-03-04 18:00:00+00:00,2024-03-04 18:15:00+00:00,2024-03-05 01:35:00+00:00,1,-1.0575664155660929,SL,1
2024-03-05 12:45:00+00:00,2024-03-05 13:00:00+00:00,2024-03-05 13:30:00+00:00,1,2.9853095331696937,TP,0
2024-03-06 11:45:00+00:00,2024-03-06 12:00:00+00:00,2024-03-06 14:45:00+00:00,1,2.983356670972721,TP,0
2024-03-06 17:45:00+00:00,2024-03-06 18:00:00+00:00,2024-03-07 18:55:00+00:00,1,1.4351054342488867,TIME,1
2024-03-07 20:15:00+00:00,2024-03-07 20:30:00+00:00,2024-03-08 02:55:00+00:00,1,-1.0784416378985306,SL,1
2024-03-08 11:45:00+00:00,2024-03-08 12:00:00+00:00,2024-03-08 13:25:00+00:00,1,-1.0271776994722028,SL,0
2024-03-08 16:45:00+00:00,2024-03-08 17:00:00+00:00,2024-03-08 19:05:00+00:00,1,-1.0125693353496803,SL,0
2024-03-11 13:30:00+00:00,2024-03-11 13:45:00+00:00,2024-03-11 14:00:00+00:00,1,-1.0223332222619792,SL,0
2024-03-11 15:30:00+00:00,2024-03-11 15:45:00+00:00,2024-03-11 16:45:00+00:00,1,-1.0193832638676839,SL,0
2024-03-11 17:00:00+00:00,2024-03-11 17:15:00+00:00,2024-03-11 18:25:00+00:00,1,-1.0208361394733365,SL,0
2024-03-11 19:00:00+00:00,2024-03-11 19:15:00+00:00,2024-03-12 03:05:00+00:00,1,-1.0798644492816099,SL,1
2024-03-26 13:00:00+00:00,2024-03-26 13:15:00+00:00,2024-03-26 13:40:00+00:00,1,-1.017669212333448,SL,0
2024-03-27 13:45:00+00:00,2024-03-27 14:00:00+00:00,2024-03-28 12:15:00+00:00,1,2.950153896667387,TP,1
2024-03-28 14:30:00+00:00,2024-03-28 14:45:00+00:00,2024-03-31 22:00:00+00:00,1,2.8980076306693654,TP,3
2024-04-01 20:30:00+00:00,2024-04-01 20:45:00+00:00,2024-04-02 14:00:00+00:00,1,2.9379722624708955,TP,1
2024-04-02 14:00:00+00:00,2024-04-02 14:15:00+00:00,2024-04-02 14:45:00+00:00,1,-1.0136582309078237,SL,0
2024-04-02 18:00:00+00:00,2024-04-02 18:15:00+00:00,2024-04-03 19:10:00+00:00,1,2.449543015754263,TIME,1
2024-04-03 19:45:00+00:00,2024-04-03 20:00:00+00:00,2024-04-04 08:45:00+00:00,1,-1.0615426154130645,SL,1
2024-04-04 14:15:00+00:00,2024-04-04 14:30:00+00:00,2024-04-04 16:20:00+00:00,1,-1.0156451983938113,SL,0
2024-04-04 18:15:00+00:00,2024-04-04 18:30:00+00:00,2024-04-04 19:00:00+00:00,1,-1.0154497596024668,SL,0
